Term,Category Code,Category Name,Tweet,Example Tweet Tokens,Example Tweet Tags
officials honor firefighters,O02,Response agencies present at the crisis location,"Obama, Texas officials honor firefighters killed in fertilizer plant explosion - Washington Post: Washington P... http://t.co/vMcs2tD9KN","Obama , Texas officials honor firefighters killed in fertilizer plant explosion - Washington Post : Washington P ... http://t.co/vMcs2tD9KN","^ , ^ ^ V N V P N N N , ^ N , ^ G ~ U"
officials now confirm,O02,Response agencies present at the crisis location,"JUST IN: Officials now confirm with @ShastaCNN that at least 220 people have been killed in the nightclub #fire in Santa Maria, #Brazil #CNN","JUST IN : Officials now confirm with @ShastaCNN that at least 220 people have been killed in the nightclub #fire in Santa Maria , #Brazil #CNN","R P , ^ R V P @ O P A $ N V V V P D N N P ^ ^ , # #"
officials now say,O02,Response agencies present at the crisis location,RT @RichKurtzman: #HighParkFire update: Fire officials now say they may not be able to put the fire out until NEXT summer!,RT @RichKurtzman : #HighParkFire update : Fire officials now say they may not be able to put the fire out until NEXT summer !,"~ @ ~ # N , ^ N R V O V R V A P V D N P P A N ,"
officials rushed body bags,O02,Response agencies present at the crisis location,More than 100 killed by Super Typhoon Haiyan: Officials rushed body bags to devastated communities Saturday after... http://t.co/Buq9uhbt0p,More than 100 killed by Super Typhoon Haiyan : Officials rushed body bags to devastated communities Saturday after ... http://t.co/Buq9uhbt0p,"A P $ V P ^ ^ ^ , ^ V N N P V N ^ P ~ U"
officials said,O02,Response agencies present at the crisis location,RT @ksbw: Hundreds of homes destroyed in raging Colorado fire: Colorado Springs officials said Thursday that hundreds of homes... http:/ ...,RT @ksbw : Hundreds of homes destroyed in raging Colorado fire : Colorado Springs officials said Thursday that hundreds of homes ... http :/ ...,"~ @ ~ N P N V P A ^ N , ^ ^ ^ V ^ D N P N , U U ~"
officials say,O02,Response agencies present at the crisis location,"Lac-Megantic vigils as toll rises: Vigils are held in Canada for victims of the Lac-Megantic train disaster, as officials say the num...","Lac-Megantic vigils as toll rises : Vigils are held in Canada for victims of the Lac-Megantic train disaster , as officials say the num ...","^ N P N V , N V V P ^ P N P D ^ N N , P N V D G ~"
officials say the threat,O02,Response agencies present at the crisis location,LetYouKnow: Australia fire threat 'averted': Australian fire officials say the threat t... http://t.co/ExUMVZCg3A http://t.co/UD6mg2UlCH,LetYouKnow : Australia fire threat ' averted ' : Australian fire officials say the threat t ... http://t.co/ExUMVZCg3A http://t.co/UD6mg2UlCH,"^ , ^ N N , V , , A N N V D N G ~ U U"
officials say the threat to the blue mountains,O02,Response agencies present at the crisis location,@BasedBieberLife Australia fire threat 'averted': Australian fire officials say the threat to the Blue Mountains west of Sy...  @deadmau5,@BasedBieberLife Australia fire threat ' averted ' : Australian fire officials say the threat to the Blue Mountains west of Sy ... @deadmau5,"@ ^ N N , V , , A N N V D N P D ^ ^ ^ P G ~ @"
operations,O02,Response agencies present at the crisis location,RT @InteriorKE: President @UKenyatta is with us at #JKIA after operations resumed at midnight. We are on our feet. #InternalAffairs,RT @InteriorKE : President @UKenyatta is with us at #JKIA after operations resumed at midnight . We are on our feet . #InternalAffairs,"~ @ ~ N @ V P O P ^ P N V P N , O V P D N , #"
our emergency services,O02,Response agencies present at the crisis location,"Horrific news this AM:Praying for everyone still in trapped the #clutha bar in Glasgow, the injured, the families and our emergency services","Horrific news this AM : Praying for everyone still in trapped the #clutha bar in Glasgow , the injured , the families and our emergency services","A N O N , V P N R P V D ^ N P ^ , D A , D N & D N N"
over {Number} fire brigade vehicles,O02,Response agencies present at the crisis location,Transport CS Kamau: We had over 16 fire brigade vehicles to fight the blaze at JKIA - it took 4 hours. #JKIAFire @CitizenTVNews #Kenya,Transport CS Kamau : We had over 16 fire brigade vehicles to fight the blaze at JKIA - it took 4 hours . #JKIAFire @CitizenTVNews #Kenya,"N N ^ , O V P $ N N N P V D N P ^ , O V $ N , # @ #"
overflowing with help,O02,Response agencies present at the crisis location,RT @ABC: Dept of Public Safety Trooper DL Wilson: #WestTX is overflowing with help http://t.co/PJfmQmJc8x,RT @ABC : Dept of Public Safety Trooper DL Wilson : #WestTX is overflowing with help http://t.co/PJfmQmJc8x,"~ @ ~ N P ^ ^ N N ^ , ^ V V P N U"
peace team,O02,Response agencies present at the crisis location,"RT @RickWarren: Please pray for those suffering in the Philippines earthquake, If you'd like to help, we have a PEACE team already there,","RT @RickWarren : Please pray for those suffering in the Philippines earthquake , If you'd like to help , we have a PEACE team already there ,","~ @ ~ V V P D V P D ^ N , P L V P V , O V D ^ N R R ,"
people begin to dig sand,O02,Response agencies present at the crisis location,#Uttarakhand Update: Karnaprayag flooded. People begin to dig sand and muck out of homes. Say they need food supplies. @NewIndianXpress,#Uttarakhand Update : Karnaprayag flooded . People begin to dig sand and muck out of homes . Say they need food supplies . @NewIndianXpress,"^ N , ^ V , N V P V N & N P P N , V O V N N , @"
people rescued,O02,Response agencies present at the crisis location,RT @randomcards: Searchable database of people rescued from #Uttarakhand: http://t.co/lR3Qwwixzx needs volunteers to proofread. Contact @su...,RT @randomcards : Searchable database of people rescued from #Uttarakhand : http://t.co/lR3Qwwixzx needs volunteers to proofread . Contact @su ...,"~ @ ~ A N P N V P ^ , U V N P V , V @ ,"
people rescuing,O02,Response agencies present at the crisis location,"RT @unishkuri_mag: Uttarakhand flood: people rescuing a pony with the help of a rope from the Mandakini river at Gauri Kund, in... http://t...","RT @unishkuri_mag : Uttarakhand flood : people rescuing a pony with the help of a rope from the Mandakini river at Gauri Kund , in ... http://t ...","~ @ ~ ^ N , N V D N P D N P D N P D ^ ^ P ^ ^ , P , U ,"
people who need rescuing,O02,Response agencies present at the crisis location,Consolidated list of people who need rescuing. http://t.co/P4Ueb2KI #rescuePH,Consolidated list of people who need rescuing . http://t.co/P4Ueb2KI #rescuePH,"A N P N O V V , U #"
perimeter map of the #flagstafffire,O02,Response agencies present at the crisis location,RT @denverpost: We created a perimeter map of the #FlagstaffFire from data posted to GeoMAC earlier today: http://t.co/cqhNHQSc,RT @denverpost : We created a perimeter map of the #FlagstaffFire from data posted to GeoMAC earlier today : http://t.co/cqhNHQSc,"~ @ ~ O V D N N P D ^ P N V P ^ R N , U"
pilgrims rescued,O02,Response agencies present at the crisis location,"RT @PIB_India: #Uttarakhand; Over 33,000 pilgrims rescued.","RT @PIB_India : #Uttarakhand ; Over 33,000 pilgrims rescued .","~ @ ~ ^ , P $ N V ,"
please coordinate with,O02,Response agencies present at the crisis location,RT @LPUManila: Volunteers are very much welcome for the #ReliefPH operations at the Mabini Hall. Please coordinate with COSeL and Tangha ...,RT @LPUManila : Volunteers are very much welcome for the #ReliefPH operations at the Mabini Hall . Please coordinate with COSeL and Tangha ...,"~ @ ~ N V R A V P D ^ N P D ^ ^ , V V P ^ & ^ ,"
please evacuate,O02,Response agencies present at the crisis location,RT @TELUS: RT @CalgaryPolice: Please evacuate the following areas of #yyc: http://t.co/v8cVAGCLxb #yycflood Please RT,RT @TELUS : RT @CalgaryPolice : Please evacuate the following areas of #yyc : http://t.co/v8cVAGCLxb #yycflood Please RT,"~ @ ~ ~ @ ~ V V D N N P ^ , U # V V"
police,O02,Response agencies present at the crisis location,RT @911BUFF: BOSTON: POLICE AND FBI URGING ANYONE WITH VIDEO OF THE FINISH LINE AT THE TIME OF THE EXPLOSION SHOULD PLEASE COME FORWARD. ...,RT @911BUFF : BOSTON : POLICE AND FBI URGING ANYONE WITH VIDEO OF THE FINISH LINE AT THE TIME OF THE EXPLOSION SHOULD PLEASE COME FORWARD . ...,"~ @ ~ ^ , N & ^ V N P N P D N N P D N P D N V V V R , ~"
police airport unit,O02,Response agencies present at the crisis location,"2. Mr. Joseph M. Ole Tito, (DCP) from PPO Nyanza to Commandant Kenya police Airport Unit.","2 . Mr. Joseph M . Ole Tito , ( DCP ) from PPO Nyanza to Commandant Kenya police Airport Unit .","$ , ^ ^ ^ , A ^ , , N , P ^ ^ P ^ ^ N N N ,"
police asking people,O02,Response agencies present at the crisis location,RT @ABC7: #LAX UPDATE: Police asking people to avoid LAX area for the next several hours http://t.co/u5lTveArpy,RT @ABC7 : #LAX UPDATE : Police asking people to avoid LAX area for the next several hours http://t.co/u5lTveArpy,"~ @ ~ # N , ^ V N P V ^ ^ P D A A N U"
police bravery award,O02,Response agencies present at the crisis location,"RT @STVNews: PC Kirsty Nelis, 36, on board the #Clutha helicopter, received police bravery award in 2003. http://t.co/qWLc8lfB7D http://t.c...","RT @STVNews : PC Kirsty Nelis , 36 , on board the #Clutha helicopter , received police bravery award in 2003 . http://t.co/qWLc8lfB7D http://t.c ...","~ @ ~ ^ ^ ^ , $ , P N D ^ N , V N N N P $ , U U ,"
police calling,O02,Response agencies present at the crisis location,RT @QPSmedia: POLICE CALLING FOR IMMEDIATE EVACUATION OF BUNDABERG NORTH. #bigwet,RT @QPSmedia : POLICE CALLING FOR IMMEDIATE EVACUATION OF BUNDABERG NORTH . #bigwet,"~ @ ~ ^ V P A N P ^ ^ , #"
police car,O02,Response agencies present at the crisis location,“@NuhKeyAh: Bugatti police car in Dubai 😐 have Ferrar... http://t.co/p277iSZb2p #India #Flood #Uttarakhand #Awkward #Dubai via @MohamedMH_,“ @NuhKeyAh : Bugatti police car in Dubai 😐 have Ferrar ... http://t.co/p277iSZb2p #India #Flood #Uttarakhand #Awkward #Dubai via @MohamedMH_,", @ ~ ^ ^ N P ^ ^ V ^ , U # # # # # P @"
police chief,O02,Response agencies present at the crisis location,"Police chief: One dead, one missing in Colorado fire - Washington Post http://t.co/AC1LSt1c #PoliceNews","Police chief : One dead , one missing in Colorado fire - Washington Post http://t.co/AC1LSt1c #PoliceNews","N N , $ A , $ V P ^ N , ^ N U #"
police chopper,O02,Response agencies present at the crisis location,Emergency services on roof of #clutha trying to get through debris. Helicopter was only police chopper in Scotland #GlasgowHelicopterCrash,Emergency services on roof of #clutha trying to get through debris . Helicopter was only police chopper in Scotland #GlasgowHelicopterCrash,"N N P N P ^ V P V P N , N V R V N P ^ #"
police commissioner,O02,Response agencies present at the crisis location,Boston Police Commissioner Ed Davis: There is no suspect in custody. Stay with @CNNLive for continuing coverage #BostonMarathon @CNN,Boston Police Commissioner Ed Davis : There is no suspect in custody . Stay with @CNNLive for continuing coverage #BostonMarathon @CNN,"^ ^ ^ ^ ^ , X V D N P N , V P @ P V N ^ @"
police conference,O02,Response agencies present at the crisis location,Police conference in next 30mins from Glasgow Sheriff Court #Clutha,Police conference in next 30mins from Glasgow Sheriff Court #Clutha,^ N P A N P ^ ^ ^ #
police confirm,O02,Response agencies present at the crisis location,RT @etu_009freshkid: Train Derails in New York City: Police confirm that a Metro-North passenger train has derailed in the Bronx to... http...,RT @etu_009freshkid : Train Derails in New York City : Police confirm that a Metro-North passenger train has derailed in the Bronx to ... http ...,"~ @ ~ N N P ^ ^ ^ , ^ V P D ^ N N V V P D ^ P , U ,"
police continue search,O02,Response agencies present at the crisis location,"RT @BBCBreaking: Confirmed death toll after collapse of #Bangladesh garment factory rises above 800, as police continue search at site","RT @BBCBreaking : Confirmed death toll after collapse of #Bangladesh garment factory rises above 800 , as police continue search at site","~ @ ~ V N N P N P ^ N N V P $ , P N V N P N"
police crucial information,O02,Response agencies present at the crisis location,Wounded LAX shooting suspect gave police crucial information - W*USA 9 http://t.co/zd757LbhDV (Latest) #obama #p2,Wounded LAX shooting suspect gave police crucial information - W*USA 9 http://t.co/zd757LbhDV ( Latest ) #obama #p2,"A ^ V N V N A N , ^ $ U , A , # #"
police department,O02,Response agencies present at the crisis location,Police Tweet Request for Video From Boston Marathon After Blast: The Boston Police Department tweeted a plea f... http://t.co/2FBlJdxum7,Police Tweet Request for Video From Boston Marathon After Blast : The Boston Police Department tweeted a plea f ... http://t.co/2FBlJdxum7,"N V N P N P ^ N P N , D ^ ^ N V D N G ~ U"
police engaged and neutralize lone shooter,O02,Response agencies present at the crisis location,Airport police engaged and neutralize lone shooter after suspect shot through TSA checkpoint. #BREAKING #LAX #LAXShooting suspect injured,Airport police engaged and neutralize lone shooter after suspect shot through TSA checkpoint . #BREAKING #LAX #LAXShooting suspect injured,"^ ^ V & V A N P N N P ^ N , # # # V V"
police engagement,O02,Response agencies present at the crisis location,RT @mclarkhamilton BOMB SQUAD has arrived on scene of SWAT and POLICE engagement with suspect 2 #Watertown #Boston,RT @mclarkhamilton BOMB SQUAD has arrived on scene of SWAT and POLICE engagement with suspect 2 #Watertown #Boston,~ @ N N V V P N P N & ^ N P N P ^ #
police force aerial shot of town,O02,Response agencies present at the crisis location,MT @CTVBeauchemin: Quebec police force aerial shot of town of Lac Megantic in the aftermath of trail derailment. http://t.co/rKUpRsSzNc,MT @CTVBeauchemin : Quebec police force aerial shot of town of Lac Megantic in the aftermath of trail derailment . http://t.co/rKUpRsSzNc,"^ @ ~ ^ N V A N P N P ^ ^ P D N P N N , U"
police gain access to site,O02,Response agencies present at the crisis location,Quebec train explosion death toll rises to 13 as police gain access to site: About 40 residents still missing ... http://t.co/xDn5OwavPS,Quebec train explosion death toll rises to 13 as police gain access to site : About 40 residents still missing ... http://t.co/xDn5OwavPS,"^ N N N N V P $ P N V N P N , P $ N R V ~ U"
police headquarters tonight,O02,Response agencies present at the crisis location,RT @CstShaw: Dinner time thanks to @TasteofIndiaNW at police headquarters tonight. #yycflood #yyc http://t.co/07AbYhHN8l,RT @CstShaw : Dinner time thanks to @TasteofIndiaNW at police headquarters tonight . #yycflood #yyc http://t.co/07AbYhHN8l,"~ @ ~ N N N P @ P ^ N N , # # U"
police helicopter,O02,Response agencies present at the crisis location,#aviation Glasgow helicopter crash: 'Multiple injuries' at Clutha pub: A police helicopter has crashed into a ... http://t.co/m8pwV4NhSr,#aviation Glasgow helicopter crash : ' Multiple injuries ' at Clutha pub : A police helicopter has crashed into a ... http://t.co/m8pwV4NhSr,"# ^ N N , , ^ N , P ^ N , D N N V V P D ~ U"
police helicopter crash,O02,Response agencies present at the crisis location,#BBC #Glasgow #pub. Police helicopter crash: 'Multiple injuries' at The Clutha pub in Glasgow. http://t.co/bts7naPsem,#BBC #Glasgow #pub . Police helicopter crash : ' Multiple injuries ' at The Clutha pub in Glasgow . http://t.co/bts7naPsem,"# # # , ^ N N , , ^ N , P D ^ N P ^ , U"
police helicopter crash landed,O02,Response agencies present at the crisis location,RT @yvonneridley: A police helicopter crash landed on roof of Glasgow pub last night &amp; still people trapped inside this morning: http://t.c...,RT @yvonneridley : A police helicopter crash landed on roof of Glasgow pub last night & still people trapped inside this morning : http://t.c ...,"~ @ ~ D N N V V P N P ^ N A N & R N V P D N , U ,"
police helicopter crash this morning,O02,Response agencies present at the crisis location,"Thoughts are with of all those caught up in the Glasgow police helicopter crash this morning, so awful especially on St Andrew's day.","Thoughts are with of all those caught up in the Glasgow police helicopter crash this morning , so awful especially on St Andrew's day .","N V P P D D V T P D ^ N N V D N , R A R P ^ Z N ,"
police helicopter crashed friday night,O02,Response agencies present at the crisis location,Police helicopter crashes into #Glasgow #pub #roof http://t.co/Re3bnhoGrS 'LONDON (AP) — A police helicopter crashed Friday night throug...',Police helicopter crashes into #Glasgow #pub #roof http://t.co/Re3bnhoGrS ' LONDON ( AP ) — A police helicopter crashed Friday night throug ... ',"^ N V P # # # U , ^ , ^ , , D N N V ^ N G ~ ,"
police helicopter crashing,O02,Response agencies present at the crisis location,Terrible news of a police helicopter crashing into Clutha Bar in Glasgow last night. Thinking of all those involved.,Terrible news of a police helicopter crashing into Clutha Bar in Glasgow last night . Thinking of all those involved .,"A N P D N N V P ^ ^ P ^ A N , V P D O V ,"
police helicopter going,O02,Response agencies present at the crisis location,RT @p_mcpartlin: Appears to be a police helicopter going by this pic RT @Janney_h: Helicopter crash into pub over road from our hotel! http...,RT @p_mcpartlin : Appears to be a police helicopter going by this pic RT @Janney_h : Helicopter crash into pub over road from our hotel ! http ...,"~ @ ~ V P V D N N V P D N ~ @ ~ N V P N P N P D N , U ,"
police helicopter involved,O02,Response agencies present at the crisis location,RT @c4marcus: Image here from @Janney_h appears to confirm it is indeed police helicopter involved in Glasgow crash: http://t.co/BySlVrh2aM,RT @c4marcus : Image here from @Janney_h appears to confirm it is indeed police helicopter involved in Glasgow crash : http://t.co/BySlVrh2aM,"~ @ ~ N R P @ V P V O V R N N V P ^ N , U"
police helicopter winched,O02,Response agencies present at the crisis location,#crime Mangled frame of crashed police helicopter winched from Glasgow pub http://t.co/BArBf6a2qv http://t.co/vjUNGG1iYz,#crime Mangled frame of crashed police helicopter winched from Glasgow pub http://t.co/BArBf6a2qv http://t.co/vjUNGG1iYz,# A N P V N N V P ^ N U U
police incident,O02,Response agencies present at the crisis location,"CNN Airport officials said a police incident began about 9:30 a.m. at Terminal 3 at #LAX, airport spokeswoman @News12LI","CNN Airport officials said a police incident began about 9:30 a.m. at Terminal 3 at #LAX , airport spokeswoman @News12LI","^ ^ ^ V D N N V P $ N P ^ $ P ^ , N N @"
police looting,O02,Response agencies present at the crisis location,Police looting in Kenya fire probed: Police officers and airport workers are questioned over suspected acts of... http://t.co/kx8VtjsrTt,Police looting in Kenya fire probed : Police officers and airport workers are questioned over suspected acts of ... http://t.co/kx8VtjsrTt,"N V P ^ N V , ^ ^ & N N V V P V N P , U"
police lower death toll,O02,Response agencies present at the crisis location,RT @AP: BREAKING: Police lower death toll in Brazil nightclub fire to 232. -SS,RT @AP : BREAKING : Police lower death toll in Brazil nightclub fire to 232 . -SS,"~ @ ~ N , ^ A N N P ^ N N P $ , G"
police make arrests,O02,Response agencies present at the crisis location,Brazil Nightclub Fire: Lady Gaga Prays for Victims as Police Make Arrests: The Paparazzi hitmaker amongst stars ... http://t.co/GOUjnsvf,Brazil Nightclub Fire : Lady Gaga Prays for Victims as Police Make Arrests : The Paparazzi hitmaker amongst stars ... http://t.co/GOUjnsvf,"^ ^ ^ , ^ ^ ^ P N P ^ V N , D ^ ^ P N , U"
police marine unit,O02,Response agencies present at the crisis location,RT @TorontoPolice: #OnFlood #TOFlood RT @SimonOstler Toronto Police Marine Unit at side of Go Train partly submerged in flood waters http:/...,RT @TorontoPolice : #OnFlood #TOFlood RT @SimonOstler Toronto Police Marine Unit at side of Go Train partly submerged in flood waters http :/ ...,~ @ ~ # # ~ @ ^ ^ ^ N P N P V N R V P N N U E E
police now reporting up,O02,Response agencies present at the crisis location,"RT @YourAnonNews: CBC: Provincial Police now reporting up to 100 missing in Lac-Mégantic, Quebec runaway oil train explosion http://t.co/jU...","RT @YourAnonNews : CBC : Provincial Police now reporting up to 100 missing in Lac-Mégantic , Quebec runaway oil train explosion http://t.co/jU ...","~ @ ~ ^ , A N R V T P $ V P ^ , ^ ^ N N N U ,"
police officer,O02,Response agencies present at the crisis location,"RT @NewsBreaker: BREAKING: KXXV-TV reporting five firefighters, one police officer dead due to explosion at fertilizer plant in West, TX ...","RT @NewsBreaker : BREAKING : KXXV-TV reporting five firefighters , one police officer dead due to explosion at fertilizer plant in West , TX ...","~ @ ~ N , N V $ N , $ N N A A P N P N N P ^ , ^ ,"
police officer dead,O02,Response agencies present at the crisis location,RT @911BUFF: BREAKING NEWS! TEXAS EXPLOSION: FIVE FIREFIGHTERS AND ONE POLICE OFFICER DEAD IN EXPLOSION AT FERTILIZER PLANT. FOX. 'PRAY  ...,RT @911BUFF : BREAKING NEWS ! TEXAS EXPLOSION : FIVE FIREFIGHTERS AND ONE POLICE OFFICER DEAD IN EXPLOSION AT FERTILIZER PLANT . FOX . ' PRAY ...,"~ @ ~ V N , ^ N , $ N & $ N N A P N P N N , N , , V ,"
police officers who were killed,O02,Response agencies present at the crisis location,Glasgow helicopter crash: bravery of police officers who were killed  #news #uk http://t.co/VhzrmrG1X6,Glasgow helicopter crash : bravery of police officers who were killed #news #uk http://t.co/VhzrmrG1X6,"^ N N , N P ^ ^ O V V # # U"
police official tells,O02,Response agencies present at the crisis location,MT @BrianSumers: Airport police official tells me that suspect tried to flee inside terminal &amp; was pursued. Fire exchanged. #LAXShooting,MT @BrianSumers : Airport police official tells me that suspect tried to flee inside terminal & was pursued . Fire exchanged . #LAXShooting,"^ @ ~ ^ ^ N V O P V V P V P N & V V , ^ V , #"
police press conference expected,O02,Response agencies present at the crisis location,Police press conference expected at 3.15pm #Clutha,Police press conference expected at 3.15 pm #Clutha,^ N N V P $ N #
police responding to incident,O02,Response agencies present at the crisis location,"RT @BBCBreaking: Police responding to incident at Terminal 3 of Los Angeles #LAX airport in US, @LAX_Official says","RT @BBCBreaking : Police responding to incident at Terminal 3 of Los Angeles #LAX airport in US , @LAX_Official says","~ @ ~ ^ V P N P ^ $ P ^ ^ ^ N P ^ , @ V"
police seeking to interview,O02,Response agencies present at the crisis location,Judge appoints attorney for accused LAX shooter Paul Ciancia over objections from police seeking to interview him http://t.co/QM8kE7oSXB,Judge appoints attorney for accused LAX shooter Paul Ciancia over objections from police seeking to interview him http://t.co/QM8kE7oSXB,N V N P V ^ N ^ ^ P N P ^ V P V O U
police service,O02,Response agencies present at the crisis location,The City of #Toronto Emergency Services and the Toronto Police Service are advising the public to remain in their homes #TOstorm #topoli,The City of #Toronto Emergency Services and the Toronto Police Service are advising the public to remain in their homes #TOstorm #topoli,D N P ^ N N & D ^ ^ N V V D A P V P D N # #
police source,O02,Response agencies present at the crisis location,"RT @samsteinhp: RT @cnnbrk: At least 2 people have died in train derailment in Bronx, a New York City police source tells CNN. http://t.co/...","RT @samsteinhp : RT @cnnbrk : At least 2 people have died in train derailment in Bronx , a New York City police source tells CNN . http://t.co/ ...","~ @ ~ ~ @ ~ P A $ N V V P N V P ^ , D A ^ ^ ^ N V ^ , U ,"
police station,O02,Response agencies present at the crisis location,"ohhh tomorrow we are shooting at the airport, police station and hospital. that 7am call time tho...#Ouch","ohhh tomorrow we are shooting at the airport , police station and hospital . that 7am call time tho ... #Ouch","! N O V V P D N , N N & N , D $ N N R , #"
police urging everyone,O02,Response agencies present at the crisis location,RT @911BUFF: TEXAS EXPLOSION: ANOTHER CHEMICAL TANK ON FIRE AT FERTILIZER PLANT. POLICE URGING EVERYONE IN 30 MILE RADIUS TO EVACUATE NO ...,RT @911BUFF : TEXAS EXPLOSION : ANOTHER CHEMICAL TANK ON FIRE AT FERTILIZER PLANT . POLICE URGING EVERYONE IN 30 MILE RADIUS TO EVACUATE NO ...,"~ @ ~ ^ N , D N N P ^ P N N , ^ V N P $ N N P V ! ,"
police use personnel dressed,O02,Response agencies present at the crisis location,RT @OpBangladesh: Police use personnel dressed like public and using Live Ammunition  #BanglaSpring #Bangladesh #MayDay #OpBangladesh http:...,RT @OpBangladesh : Police use personnel dressed like public and using Live Ammunition #BanglaSpring #Bangladesh #MayDay #OpBangladesh http : ...,"~ @ ~ ^ N N V P A & V A N # # # # U ~ ,"
police van yesterday,O02,Response agencies present at the crisis location,RT @AnjumKiani: #TTP terrorists accept responsibility of targeting police van yesterday in #Balochistan. cc @ImranKhanPTI @SMunawarHasan Pe...,RT @AnjumKiani : #TTP terrorists accept responsibility of targeting police van yesterday in #Balochistan . cc @ImranKhanPTI @SMunawarHasan Pe ...,"~ @ ~ # N V N P V N N N P ^ , N @ @ ^ ,"
politicians,O02,Response agencies present at the crisis location,I salute the army and air force for all their efforts and want to slap the politicians for their insensitivity. #uttarakhand #india,I salute the army and air force for all their efforts and want to slap the politicians for their insensitivity . #uttarakhand #india,"O V D N & N N P D D N & V P V D N P D N , # #"
poor crisis communication,O02,Response agencies present at the crisis location,Allan Bonner on poor Crisis Communication at Lac Megantic: http://t.co/SL8hNLOqRL via @youtube,Allan Bonner on poor Crisis Communication at Lac Megantic : http://t.co/SL8hNLOqRL via @youtube,"^ ^ P A N N P ^ ^ , U P @"
possible flooding,O02,Response agencies present at the crisis location,Knowledge is Power. Brisbane Basketball Inc. much better prepared for possible flooding in the coming days #bigwet http://t.co/TNb62I0u,Knowledge is Power . Brisbane Basketball Inc . much better prepared for possible flooding in the coming days #bigwet http://t.co/TNb62I0u,"N V N , ^ ^ ^ , R A A P A V P D V N # U"
post-quake relief effort,O02,Response agencies present at the crisis location,Philippines: UN agencies arriving to assist with post-quake relief effort http://t.co/PZe3NTx5Z7,Philippines : UN agencies arriving to assist with post-quake relief effort http://t.co/PZe3NTx5Z7,"N , ^ N V P V P A N N U"
president,O02,Response agencies present at the crisis location,"RT @BreakingNews: Death toll in Guatemala earthquake rises to 52; many of 22 still missing presumed dead, president says - @AP http://t. ...","RT @BreakingNews : Death toll in Guatemala earthquake rises to 52 ; many of 22 still missing presumed dead , president says - @AP http://t . ...","~ @ ~ N N P ^ N V P $ , A P $ R V V A , N V , @ U , ~"
providing assistan,O02,Response agencies present at the crisis location,RT @SenatorBinay: Thank you @DickGordonDaily for speedily sending medical and rescue teams to #Bohol. @philredcross here providing assistan...,RT @SenatorBinay : Thank you @DickGordonDaily for speedily sending medical and rescue teams to #Bohol . @philredcross here providing assistan ...,"~ @ ~ V O @ P R V A & V N P ^ , @ R V G G"
quake rescue efforts,O02,Response agencies present at the crisis location,Impassable roads hamper Philippines quake rescue efforts http://t.co/xY5JfML0sk http://t.co/zPfRGsTdhH,Impassable roads hamper Philippines quake rescue efforts http://t.co/xY5JfML0sk http://t.co/zPfRGsTdhH,A N V ^ N N N U U
radiation detector,O02,Response agencies present at the crisis location,"RT @ArmyGuyGeorgia: Photos: Private military operatives hired to 'work' the Boston marathon with black backpacks, radiation detector...  ...","RT @ArmyGuyGeorgia : Photos : Private military operatives hired to ' work ' the Boston marathon with black backpacks , radiation detector ... ...","~ @ ~ N , A A N V P , N , D ^ N P A N , N N , ,"
rain slows rescue efforts,O02,Response agencies present at the crisis location,Rain slows rescue efforts amid deadly Colorado floods  http://t.co/ugZRNu3tQf,Rain slows rescue efforts amid deadly Colorado floods http://t.co/ugZRNu3tQf,N V V N V A ^ N U
rcmp statement,O02,Response agencies present at the crisis location,RT @alex_ruiz: RCMP statement on @CBC news: there may be 4 casualties in High River :( #yycflood #abflood,RT @alex_ruiz : RCMP statement on @CBC news : there may be 4 casualties in High River :( #yycflood #abflood,"~ @ ~ ^ N P @ N , X V V $ N P ^ ^ E # #"
rcmp urge caution,O02,Response agencies present at the crisis location,"RCMP urge caution, patience for those crossing the Trans-Canada bridge at Medicine Hat. Only one lane open each way #abflood","RCMP urge caution , patience for those crossing the Trans-Canada bridge at Medicine Hat . Only one lane open each way #abflood","^ N N , N P O V D ^ N P ^ ^ , A $ N V D N #"
ready {Number} assist {Number},O02,Response agencies present at the crisis location,"RT @DonaldKaberuka: Nairobi airport' fire ' big setback .Sympathies 2 Kenya brothers and sisters .Key hub 4 Africa 'Ready 2 assist 4 short,...","RT @DonaldKaberuka : Nairobi airport ' fire ' big setback . Sympathies 2 Kenya brothers and sisters . Key hub 4 Africa ' Ready 2 assist 4 short ,...","~ @ ~ ^ N , N , A N , N P ^ N & N , ^ N P ^ , A P V $ A ,"
ready for action,O02,Response agencies present at the crisis location,RT @Federation: Costa Rica Red Cross ready for action after #earthquake - http://t.co/u0V8rrQG,RT @Federation : Costa Rica Red Cross ready for action after #earthquake - http://t.co/u0V8rrQG,"~ @ ~ ^ ^ ^ ^ A P N P ^ , U"
ready for action after earthquake,O02,Response agencies present at the crisis location,Costa Rica: Costa Rica Red Cross Ready for Action after Earthquake:        Source:                 Irish Red Cro... http://t.co/8i9vCIV6,Costa Rica : Costa Rica Red Cross Ready for Action after Earthquake : Source : Irish Red Cro ... http://t.co/8i9vCIV6,"^ ^ , ^ ^ ^ ^ A P N P N , N , A A G ~ U"
ready to assist,O02,Response agencies present at the crisis location,#NSWSES Units are on standby and ready to assist in the #bigwet &amp; #NSWFloods. Many units are already active... http://t.co/aUdYVWC2,#NSWSES Units are on standby and ready to assist in the #bigwet & #NSWFloods . Many units are already active ... http://t.co/aUdYVWC2,"# N V P N & A P V P D N & # , A N V R A , U"
